;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 10/04/2023 2:29:02 pm
;----------------------------------------------

;Address Opcode 	ASM
0x38C6	0x1280940E  	CALL       _TWI_Config+0
;Solar_Loads_Controller_SLCM_V1.c,1597 :: 		Config_Interrupts();
0x38CA	0xDCF1    	RCALL      _Config_Interrupts+0
;Solar_Loads_Controller_SLCM_V1.c,1598 :: 		ReadBytesFromEEprom(0x04,(unsigned short *)&Mini_Battery_Voltage,4);       // Loads will cut of this voltgage
0x38CC	0xE0B4    	LDI        R27, 4
0x38CE	0x2E6B    	MOV        R6, R27
0x38D0	0xE0B0    	LDI        R27, 0
0x38D2	0x2E7B    	MOV        R7, R27
0x38D4	0xE6B3    	LDI        R27, lo_addr(_Mini_Battery_Voltage+0)
0x38D6	0x2E4B    	MOV        R4, R27
0x38D8	0xE0B0    	LDI        R27, hi_addr(_Mini_Battery_Voltage+0)
0x38DA	0x2E5B    	MOV        R5, R27
0x38DC	0xE0B4    	LDI        R27, 4
0x38DE	0x2E2B    	MOV        R2, R27
0x38E0	0xE0B0    	LDI        R27, 0
0x38E2	0x2E3B    	MOV        R3, R27
0x38E4	0xD967    	RCALL      _ReadBytesFromEEprom+0
;Solar_Loads_Controller_SLCM_V1.c,1599 :: 		ReadBytesFromEEprom(0x08,(unsigned short *)&StartLoadsVoltage,4);         //Loads will start based on this voltage
0x38E6	0xE0B4    	LDI        R27, 4
0x38E8	0x2E6B    	MOV        R6, R27
0x38EA	0xE0B0    	LDI        R27, 0
0x38EC	0x2E7B    	MOV        R7, R27
0x38EE	0xE6B9    	LDI        R27, lo_addr(_StartLoadsVoltage+0)
0x38F0	0x2E4B    	MOV        R4, R27
0x38F2	0xE0B0    	LDI        R27, hi_addr(_StartLoadsVoltage+0)
0x38F4	0x2E5B    	MOV        R5, R27
0x38F6	0xE0B8    	LDI        R27, 8
0x38F8	0x2E2B    	MOV        R2, R27
0x38FA	0xE0B0    	LDI        R27, 0
0x38FC	0x2E3B    	MOV        R3, R27
0x38FE	0xD95A    	RCALL      _ReadBytesFromEEprom+0
;Solar_Loads_Controller_SLCM_V1.c,1600 :: 		ReadBytesFromEEprom(0x12,(unsigned short *)&startupTIme_1,2);
0x3900	0xE0B2    	LDI        R27, 2
0x3902	0x2E6B    	MOV        R6, R27
0x3904	0xE0B0    	LDI        R27, 0
0x3906	0x2E7B    	MOV        R7, R27
0x3908	0xE6B1    	LDI        R27, lo_addr(_startupTIme_1+0)
0x390A	0x2E4B    	MOV        R4, R27
0x390C	0xE0B0    	LDI        R27, hi_addr(_startupTIme_1+0)
0x390E	0x2E5B    	MOV        R5, R27
0x3910	0xE1B2    	LDI        R27, 18
0x3912	0x2E2B    	MOV        R2, R27
0x3914	0xE0B0    	LDI        R27, 0
0x3916	0x2E3B    	MOV        R3, R27
0x3918	0xD94D    	RCALL      _ReadBytesFromEEprom+0
;Solar_Loads_Controller_SLCM_V1.c,1601 :: 		ReadBytesFromEEprom(0x15,(unsigned short *)&Cut_Time,2);
0x391A	0xE0B2    	LDI        R27, 2
0x391C	0x2E6B    	MOV        R6, R27
0x391E	0xE0B0    	LDI        R27, 0
0x3920	0x2E7B    	MOV        R7, R27
0x3922	0xEAB0    	LDI        R27, lo_addr(_Cut_Time+0)
0x3924	0x2E4B    	MOV        R4, R27
0x3926	0xE0B0    	LDI        R27, hi_addr(_Cut_Time+0)
0x3928	0x2E5B    	MOV        R5, R27
0x392A	0xE1B5    	LDI        R27, 21
0x392C	0x2E2B    	MOV        R2, R27
0x392E	0xE0B0    	LDI        R27, 0
0x3930	0x2E3B    	MOV        R3, R27
0x3932	0xD940    	RCALL      _ReadBytesFromEEprom+0
;Solar_Loads_Controller_SLCM_V1.c,1602 :: 		ReadBytesFromEEprom(0x19,(unsigned short *)&VinBatteryDifference,4);         //Loads will start based on this voltage
0x3934	0xE0B4    	LDI        R27, 4
0x3936	0x2E6B    	MOV        R6, R27
0x3938	0xE0B0    	LDI        R27, 0
0x393A	0x2E7B    	MOV        R7, R27
0x393C	0xE9B9    	LDI        R27, lo_addr(_VinBatteryDifference+0)
0x393E	0x2E4B    	MOV        R4, R27
0x3940	0xE0B0    	LDI        R27, hi_addr(_VinBatteryDifference+0)
0x3942	0x2E5B    	MOV        R5, R27
0x3944	0xE1B9    	LDI        R27, 25
0x3946	0x2E2B    	MOV        R2, R27
0x3948	0xE0B0    	LDI        R27, 0
0x394A	0x2E3B    	MOV        R3, R27
0x394C	0xD933    	RCALL      _ReadBytesFromEEprom+0
;Solar_Loads_Controller_SLCM_V1.c,1603 :: 		WelcomeScreen();
0x394E	0x146F940E  	CALL       _WelcomeScreen+0
;Solar_Loads_Controller_SLCM_V1.c,1604 :: 		Timer_2_Init_Screen();  // this timer is for update screen
0x3952	0xDA16    	RCALL      _Timer_2_Init_Screen+0
;Solar_Loads_Controller_SLCM_V1.c,1605 :: 		Timer_1_A_ReadBattery_Init(); // timer for seconds
0x3954	0xDA26    	RCALL      _Timer_1_A_ReadBattery_Init+0
;Solar_Loads_Controller_SLCM_V1.c,1606 :: 		while(1)
L_main567:
;Solar_Loads_Controller_SLCM_V1.c,1608 :: 		CheckForSet();       // done in interrupt
0x3956	0xD967    	RCALL      _CheckForSet+0
;Solar_Loads_Controller_SLCM_V1.c,1609 :: 		CheckSystemBatteryMode();
0x3958	0xD801    	RCALL      _CheckSystemBatteryMode+0
;Solar_Loads_Controller_SLCM_V1.c,1610 :: 		RunTimersNowCheck();
0x395A	0xD888    	RCALL      _RunTimersNowCheck+0
;Solar_Loads_Controller_SLCM_V1.c,1611 :: 		WorkingMode();
0x395C	0xDCBE    	RCALL      _WorkingMode+0
;Solar_Loads_Controller_SLCM_V1.c,1612 :: 		WDT_Enable(); // critical part may
0x395E	0xDC98    	RCALL      _WDT_Enable+0
;Solar_Loads_Controller_SLCM_V1.c,1613 :: 		CheckForTimerActivationInRange();
0x3960	0xDA60    	RCALL      _CheckForTimerActivationInRange+0
;Solar_Loads_Controller_SLCM_V1.c,1614 :: 		CheckForTimerActivationOutRange();
0x3962	0xDA3F    	RCALL      _CheckForTimerActivationOutRange+0
;Solar_Loads_Controller_SLCM_V1.c,1616 :: 		Screen_1();       // for reading time
0x3964	0xDC8E    	RCALL      _Screen_1+0
;Solar_Loads_Controller_SLCM_V1.c,1617 :: 		Check_Timers();
0x3966	0xDA9B    	RCALL      _Check_Timers+0
;Solar_Loads_Controller_SLCM_V1.c,1618 :: 		WDT_Disable();
0x3968	0x1274940E  	CALL       _WDT_Disable+0
;Solar_Loads_Controller_SLCM_V1.c,1619 :: 		TurnLoadsOffWhenGridOff();       // sometine when grid comes fast and cut it will not make interrupt so this second check for loads off
0x396C	0x1233940E  	CALL       _TurnLoadsOffWhenGridOff+0
;Solar_Loads_Controller_SLCM_V1.c,1620 :: 		Delay_ms(200);
0x3970	0xE029    	LDI        R18, 9
0x3972	0xE11E    	LDI        R17, 30
0x3974	0xEE05    	LDI        R16, 229
L_main569:
0x3976	0x950A    	DEC        R16
0x3978	0xF7F1    	BRNE       L_main569
0x397A	0x951A    	DEC        R17
0x397C	0xF7E1    	BRNE       L_main569
0x397E	0x952A    	DEC        R18
0x3980	0xF7D1    	BRNE       L_main569
0x3982	0x0000    	NOP
;Solar_Loads_Controller_SLCM_V1.c,1621 :: 		}
0x3984	0xCFE8    	RJMP       L_main567
;Solar_Loads_Controller_SLCM_V1.c,1622 :: 		}
L_end_main:
0x3986	0x907F    	POP        R7
0x3988	0x906F    	POP        R6
0x398A	0x905F    	POP        R5
0x398C	0x904F    	POP        R4
0x398E	0x903F    	POP        R3
0x3990	0x902F    	POP        R2
L__main_end_loop:
0x3992	0xCFFF    	RJMP       L__main_end_loop
; end of _main
_Config:
;Solar_Loads_Controller_SLCM_V1.c,176 :: 		void Config()
;Solar_Loads_Controller_SLCM_V1.c,178 :: 		GPIO_Init();
0x25C0	0xD86A    	RCALL      _Gpio_Init+0
;Solar_Loads_Controller_SLCM_V1.c,179 :: 		}
L_end_Config:
0x25C2	0x9508    	RET
; end of _Config
_Gpio_Init:
;Solar_Loads_Controller_SLCM_V1.c,163 :: 		void Gpio_Init()
;Solar_Loads_Controller_SLCM_V1.c,165 :: 		DDRB=0xFF; // set as output for 7 segment
0x1696	0xEFBF    	LDI        R27, 255
0x1698	0xBBB7    	OUT        DDRB+0, R27
;Solar_Loads_Controller_SLCM_V1.c,166 :: 		DDRC.B4=1; // display 1
0x169A	0xB3B4    	IN         R27, DDRC+0
0x169C	0x61B0    	SBR        R27, 16
0x169E	0xBBB4    	OUT        DDRC+0, R27
;Solar_Loads_Controller_SLCM_V1.c,167 :: 		DDRC.B5=1; // display 2
0x16A0	0xB3B4    	IN         R27, DDRC+0
0x16A2	0x62B0    	SBR        R27, 32
0x16A4	0xBBB4    	OUT        DDRC+0, R27
;Solar_Loads_Controller_SLCM_V1.c,168 :: 		DDRC.B6=1; // display 3
0x16A6	0xB3B4    	IN         R27, DDRC+0
0x16A8	0x64B0    	SBR        R27, 64
0x16AA	0xBBB4    	OUT        DDRC+0, R27
;Solar_Loads_Controller_SLCM_V1.c,169 :: 		DDRA.B5=0; // increment as input
0x16AC	0xB3BA    	IN         R27, DDRA+0
0x16AE	0x7DBF    	CBR        R27, 32
0x16B0	0xBBBA    	OUT        DDRA+0, R27
;Solar_Loads_Controller_SLCM_V1.c,170 :: 		DDRA.B6=0; // decrement as input
0x16B2	0xB3BA    	IN         R27, DDRA+0
0x16B4	0x7BBF    	CBR        R27, 64
0x16B6	0xBBBA    	OUT        DDRA+0, R27
;Solar_Loads_Controller_SLCM_V1.c,171 :: 		DDRD.B3=0;  // set as input
0x16B8	0xB3B1    	IN         R27, DDRD+0
0x16BA	0x7FB7    	CBR        R27, 8
0x16BC	0xBBB1    	OUT        DDRD+0, R27
;Solar_Loads_Controller_SLCM_V1.c,172 :: 		DDRD.B2=0; // ac available as input
0x16BE	0xB3B1    	IN         R27, DDRD+0
0x16C0	0x7FBB    	CBR        R27, 4
0x16C2	0xBBB1    	OUT        DDRD+0, R27
;Solar_Loads_Controller_SLCM_V1.c,173 :: 		DDRA.B3=1; // relay as output
0x16C4	0xB3BA    	IN         R27, DDRA+0
0x16C6	0x60B8    	SBR        R27, 8
0x16C8	0xBBBA    	OUT        DDRA+0, R27
;Solar_Loads_Controller_SLCM_V1.c,174 :: 		DDRC.B3=1; // grid indicator led
0x16CA	0xB3B4    	IN         R27, DDRC+0
0x16CC	0x60B8    	SBR        R27, 8
0x16CE	0xBBB4    	OUT        DDRC+0, R27
;Solar_Loads_Controller_SLCM_V1.c,175 :: 		}      //------------------------------------------------------------------------------
L_end_Gpio_Init:
0x16D0	0x9508    	RET
; end of _Gpio_Init
_EEPROM_Load:
;Solar_Loads_Controller_SLCM_V1.c,198 :: 		void EEPROM_Load()
;Solar_Loads_Controller_SLCM_V1.c,201 :: 		hours_lcd_1=EEPROM_Read(0x00);
0x253E	0x922F    	PUSH       R2
0x2540	0x923F    	PUSH       R3
0x2542	0x2422    	CLR        R2
0x2544	0x2433    	CLR        R3
0x2546	0xD87C    	RCALL      _EEPROM_Read+0
0x2548	0x00679300  	STS        _hours_lcd_1+0, R16
;Solar_Loads_Controller_SLCM_V1.c,202 :: 		minutes_lcd_1=EEPROM_Read(0x01);
0x254C	0xE0B1    	LDI        R27, 1
0x254E	0x2E2B    	MOV        R2, R27
0x2550	0xE0B0    	LDI        R27, 0
0x2552	0x2E3B    	MOV        R3, R27
0x2554	0xD875    	RCALL      _EEPROM_Read+0
0x2556	0x00689300  	STS        _minutes_lcd_1+0, R16
;Solar_Loads_Controller_SLCM_V1.c,203 :: 		hours_lcd_2=EEPROM_Read(0x02);
0x255A	0xE0B2    	LDI        R27, 2
0x255C	0x2E2B    	MOV        R2, R27
0x255E	0xE0B0    	LDI        R27, 0
0x2560	0x2E3B    	MOV        R3, R27
0x2562	0xD86E    	RCALL      _EEPROM_Read+0
0x2564	0x00719300  	STS        _hours_lcd_2+0, R16
;Solar_Loads_Controller_SLCM_V1.c,204 :: 		minutes_lcd_2=EEPROM_Read(0x03);
0x2568	0xE0B3    	LDI        R27, 3
0x256A	0x2E2B    	MOV        R2, R27
0x256C	0xE0B0    	LDI        R27, 0
0x256E	0x2E3B    	MOV        R3, R27
0x2570	0xD867    	RCALL      _EEPROM_Read+0
0x2572	0x006F9300  	STS        _minutes_lcd_2+0, R16
;Solar_Loads_Controller_SLCM_V1.c,205 :: 		RunOnBatteryVoltageWithoutTimer_Flag=EEPROM_Read(0x14);
0x2576	0xE1B4    	LDI        R27, 20
0x2578	0x2E2B    	MOV        R2, R27
0x257A	0xE0B0    	LDI        R27, 0
0x257C	0x2E3B    	MOV        R3, R27
0x257E	0xD860    	RCALL      _EEPROM_Read+0
0x2580	0x00609300  	STS        _RunOnBatteryVoltageWithoutTimer_Flag+0, R16
;Solar_Loads_Controller_SLCM_V1.c,206 :: 		UPS_Mode=EEPROM_Read(0x17);
0x2584	0xE1B7    	LDI        R27, 23
0x2586	0x2E2B    	MOV        R2, R27
0x2588	0xE0B0    	LDI        R27, 0
0x258A	0x2E3B    	MOV        R3, R27
0x258C	0xD859    	RCALL      _EEPROM_Read+0
0x258E	0x00A79300  	STS        _UPS_Mode+0, R16
;Solar_Loads_Controller_SLCM_V1.c,207 :: 		UPO_Mode=EEPROM_Read(0x18);
0x2592	0xE1B8    	LDI        R27, 24
0x2594	0x2E2B    	MOV        R2, R27
0x2596	0xE0B0    	LDI        R27, 0
0x2598	0x2E3B    	MOV        R3, R27
0x259A	0xD852    	RCALL      _EEPROM_Read+0
0x259C	0x00A69300  	STS        _UPO_Mode+0, R16
;Solar_Loads_Controller_SLCM_V1.c,208 :: 		addError=EEPROM_Read(0x23);
0x25A0	0xE2B3    	LDI        R27, 35
0x25A2	0x2E2B    	MOV        R2, R27
0x25A4	0xE0B0    	LDI        R27, 0
0x25A6	0x2E3B    	MOV        R3, R27
0x25A8	0xD84B    	RCALL      _EEPROM_Read+0
0x25AA	0x00989300  	STS        _addError+0, R16
;Solar_Loads_Controller_SLCM_V1.c,210 :: 		ByPassState=0;   // enable is zero  // delete function to be programmed for rom spac
0x25AE	0xE0B0    	LDI        R27, 0
0x25B0	0x008693B0  	STS        _ByPassState+0, R27
;Solar_Loads_Controller_SLCM_V1.c,211 :: 		Timer_Enable=1;      // delete function to be programmed for rom space
0x25B4	0xE0B1    	LDI        R27, 1
0x25B6	0x009293B0  	STS        _Timer_Enable+0, R27
;Solar_Loads_Controller_SLCM_V1.c,213 :: 		}
L_end_EEPROM_Load:
0x25BA	0x903F    	POP        R3
0x25BC	0x902F    	POP        R2
0x25BE	0x9508    	RET
; end of _EEPROM_Load
_EEPROM_Read:
0x1640	0x93CF    	PUSH       R28
0x1642	0x93DF    	PUSH       R29
0x1644	0xB7CD    	IN         R28, SPL+0
0x1646	0xB7DE    	IN         R29, SPL+1
0x1648	0x9722    	SBIW       R28, 2
0x164A	0xBFCD    	OUT        SPL+0, R28
0x164C	0xBFDE    	OUT        SPL+1, R29
0x164E	0x9621    	ADIW       R28, 1
;__Lib_EEPROM_eew.c,32 :: 		
0x1650	0x8228    	STD        Y+0, R2
0x1652	0x8239    	STD        Y+1, R3
;__Lib_EEPROM_eew.c,34 :: 		
0x1654	0xB60F    	IN         R0, SREG+0
;__Lib_EEPROM_eew.c,35 :: 		
L_EEPROM_Read2:
0x1656	0xB3BC    	IN         R27, EEWE_bit+0
0x1658	0xFFB1    	SBRS       R27, 1
0x165A	0xC001    	RJMP       L_EEPROM_Read3
;__Lib_EEPROM_eew.c,36 :: 		
0x165C	0xCFFC    	RJMP       L_EEPROM_Read2
L_EEPROM_Read3:
;__Lib_EEPROM_eew.c,38 :: 		
0x165E	0x94F8    	CLI
;__Lib_EEPROM_eew.c,40 :: 		
0x1660	0x2F1C    	MOV        R17, R28
0x1662	0x2F2D    	MOV        R18, R29
0x1664	0x2FE1    	MOV        R30, R17
0x1666	0x2FF2    	MOV        R31, R18
0x1668	0x9631    	ADIW       R30, 1
0x166A	0x8100    	LD         R16, Z
0x166C	0xBB0F    	OUT        EEARH+0, R16
;__Lib_EEPROM_eew.c,41 :: 		
0x166E	0x2FE1    	MOV        R30, R17
0x1670	0x2FF2    	MOV        R31, R18
0x1672	0x8100    	LD         R16, Z
0x1674	0xBB0E    	OUT        EEARL+0, R16
;__Lib_EEPROM_eew.c,43 :: 		
0x1676	0xB3BC    	IN         R27, EERE_bit+0
0x1678	0x60B1    	SBR        R27, 1
0x167A	0xBBBC    	OUT        EERE_bit+0, R27
;__Lib_EEPROM_eew.c,45 :: 		
0x167C	0xBE0F    	OUT        SREG+0, R0
;__Lib_EEPROM_eew.c,46 :: 		
0x167E	0xB30D    	IN         R16, EEDR+0
;__Lib_EEPROM_eew.c,47 :: 		
L_end_EEPROM_Read:
0x1680	0x9621    	ADIW       R28, 1
0x1682	0xBFCD    	OUT        SPL+0, R28
0x1684	0xBFDE    	OUT        SPL+1, R29
0x1686	0x91DF    	POP        R29
0x1688	0x91CF    	POP        R28
0x168A	0x9508    	RET
; end of _EEPROM_Read
_ADCBattery:
;Solar_Loads_Controller_SLCM_V1.c,984 :: 		void ADCBattery()
;Solar_Loads_Controller_SLCM_V1.c,986 :: 		ADC_Init();
0x270E	0x922F    	PUSH       R2
0x2710	0x040E940E  	CALL       _ADC_Init+0
;Solar_Loads_Controller_SLCM_V1.c,987 :: 		ADC_Init_Advanced(_ADC_EXTERNAL_REF);
0x2714	0x2422    	CLR        R2
0x2716	0x0B16940E  	CALL       _ADC_Init_Advanced+0
;Solar_Loads_Controller_SLCM_V1.c,988 :: 		ADPS2_Bit=1;
0x271A	0xB1B6    	IN         R27, ADPS2_bit+0
0x271C	0x60B4    	SBR        R27, 4
0x271E	0xB9B6    	OUT        ADPS2_bit+0, R27
;Solar_Loads_Controller_SLCM_V1.c,989 :: 		ADPS1_Bit=1;
0x2720	0xB1B6    	IN         R27, ADPS1_bit+0
0x2722	0x60B2    	SBR        R27, 2
0x2724	0xB9B6    	OUT        ADPS1_bit+0, R27
;Solar_Loads_Controller_SLCM_V1.c,990 :: 		ADPS0_Bit=0;
0x2726	0xB1B6    	IN         R27, ADPS0_bit+0
0x2728	0x7FBE    	CBR        R27, 1
0x272A	0xB9B6    	OUT        ADPS0_bit+0, R27
;Solar_Loads_Controller_SLCM_V1.c,991 :: 		}
L_end_ADCBattery:
0x272C	0x902F    	POP        R2
0x272E	0x9508    	RET
; end of _ADCBattery
_ADC_Init:
;__Lib_ADC_ref3.c,17 :: 		
;__Lib_ADC_ref3.c,18 :: 		
0x081C	0xE1B9    	LDI        R27, lo_addr(_ADC_Get_Sample+0)
0x081E	0x00BC93B0  	STS        _ADC_Get_Sample_Ptr+0, R27
0x0822	0xE0B4    	LDI        R27, hi_addr(_ADC_Get_Sample+0)
0x0824	0x00BD93B0  	STS        _ADC_Get_Sample_Ptr+1, R27
;__Lib_ADC_ref3.c,19 :: 		
0x0828	0xE8B7    	LDI        R27, 135
0x082A	0xB9B6    	OUT        ADCSRA+0, R27
;__Lib_ADC_ref3.c,25 :: 		
0x082C	0xE0B0    	LDI        R27, 0
0x082E	0xB9B7    	OUT        ADMUX+0, R27
;__Lib_ADC_ref3.c,28 :: 		
L_end_ADC_Init:
0x0830	0x9508    	RET
; end of _ADC_Init
_ADC_Init_Advanced:
;__Lib_ADC_ref3.c,30 :: 		
;__Lib_ADC_ref3.c,31 :: 		
0x162C	0xE1B9    	LDI        R27, lo_addr(_ADC_Get_Sample+0)
0x162E	0x00BC93B0  	STS        _ADC_Get_Sample_Ptr+0, R27
0x1632	0xE0B4    	LDI        R27, hi_addr(_ADC_Get_Sample+0)
0x1634	0x00BD93B0  	STS        _ADC_Get_Sample_Ptr+1, R27
;__Lib_ADC_ref3.c,32 :: 		
0x1638	0xE8B7    	LDI        R27, 135
0x163A	0xB9B6    	OUT        ADCSRA+0, R27
;__Lib_ADC_ref3.c,38 :: 		
0x163C	0xB827    	OUT        ADMUX+0, R2
;__Lib_ADC_ref3.c,41 :: 		
L_end_ADC_Init_Advanced:
0x163E	0x9508    	RET
; end of _ADC_Init_Advanced
_TWI_Config:
;ds1307.c,183 :: 		void TWI_Config()
;ds1307.c,185 :: 		TWI_Init(50000);
0x2500	0xB1B1    	IN         R27, TWPS0_bit+0
0x2502	0x7FBE    	CBR        R27, 1
0x2504	0xB9B1    	OUT        TWPS0_bit+0, R27
0x2506	0xB1B1    	IN         R27, TWPS1_bit+0
0x2508	0x7FBD    	CBR        R27, 2
0x250A	0xB9B1    	OUT        TWPS1_bit+0, R27
0x250C	0xE4B8    	LDI        R27, 72
0x250E	0xB9B0    	OUT        TWBR+0, R27
0x2510	0xD8BD    	RCALL      _TWI_Init+0
;ds1307.c,186 :: 		}
L_end_TWI_Config:
0x2512	0x9508    	RET
; end of _TWI_Config
_TWI_Init:
;__Lib_TWI.c,78 :: 		
;__Lib_TWI.c,79 :: 		
0x168C	0xE3B0    	LDI        R27, 48
0x168E	0xB9B1    	OUT        TWSR+0, R27
;__Lib_TWI.c,81 :: 		
0x1690	0xE0B4    	LDI        R27, 4
0x1692	0xBFB6    	OUT        TWCR+0, R27
;__Lib_TWI.c,82 :: 		
L_end_TWI_Init:
0x1694	0x9508    	RET
; end of _TWI_Init
_Config_Interrupts:
;Solar_Loads_Controller_SLCM_V1.c,1378 :: 		void Config_Interrupts()
;Solar_Loads_Controller_SLCM_V1.c,1380 :: 		ISC10_bit=1;   // Config interrupts for setup program
0x32AE	0xB7B5    	IN         R27, ISC10_bit+0
0x32B0	0x60B4    	SBR        R27, 4
0x32B2	0xBFB5    	OUT        ISC10_bit+0, R27
;Solar_Loads_Controller_SLCM_V1.c,1381 :: 		ISC11_bit=1;   // Config interrupts for setup program
0x32B4	0xB7B5    	IN         R27, ISC11_bit+0
0x32B6	0x60B8    	SBR        R27, 8
0x32B8	0xBFB5    	OUT        ISC11_bit+0, R27
;Solar_Loads_Controller_SLCM_V1.c,1382 :: 		ISC00_bit=1;   //config interrupts for shutting loads off when grid is off
0x32BA	0xB7B5    	IN         R27, ISC00_bit+0
0x32BC	0x60B1    	SBR        R27, 1
0x32BE	0xBFB5    	OUT        ISC00_bit+0, R27
;Solar_Loads_Controller_SLCM_V1.c,1383 :: 		ISC01_bit=1;   //config interrupts for shutting loads off when grid is off
0x32C0	0xB7B5    	IN         R27, ISC01_bit+0
0x32C2	0x60B2    	SBR        R27, 2
0x32C4	0xBFB5    	OUT        ISC01_bit+0, R27
;Solar_Loads_Controller_SLCM_V1.c,1384 :: 		INT1_bit=1;
0x32C6	0xB7BB    	IN         R27, INT1_bit+0
0x32C8	0x68B0    	SBR        R27, 128
0x32CA	0xBFBB    	OUT        INT1_bit+0, R27
;Solar_Loads_Controller_SLCM_V1.c,1385 :: 		INT0_bit=1;
0x32CC	0xB7BB    	IN         R27, INT0_bit+0
0x32CE	0x64B0    	SBR        R27, 64
0x32D0	0xBFBB    	OUT        INT0_bit+0, R27
;Solar_Loads_Controller_SLCM_V1.c,1386 :: 		SREG_I_bit=1; // enable the global interrupt vector
0x32D2	0xB7BF    	IN         R27, SREG_I_bit+0
0x32D4	0x68B0    	SBR        R27, 128
0x32D6	0xBFBF    	OUT        SREG_I_bit+0, R27
;Solar_Loads_Controller_SLCM_V1.c,1387 :: 		}
L_end_Config_Interrupts:
0x32D8	0x9508    	RET
; end of _Config_Interrupts
_ReadBytesFromEEprom:
0x2BB4	0x93CF    	PUSH       R28
0x2BB6	0x93DF    	PUSH       R29
0x2BB8	0xB7CD    	IN         R28, SPL+0
0x2BBA	0xB7DE    	IN         R29, SPL+1
0x2BBC	0x9722    	SBIW       R28, 2
0x2BBE	0xBFCD    	OUT        SPL+0, R28
0x2BC0	0xBFDE    	OUT        SPL+1, R29
0x2BC2	0x9621    	ADIW       R28, 1
;Solar_Loads_Controller_SLCM_V1.c,227 :: 		void ReadBytesFromEEprom(unsigned int address,unsigned short *ptr,unsigned int SizeinBytes)
;Solar_Loads_Controller_SLCM_V1.c,230 :: 		for (j=0;j<SizeinBytes;j++)
; j start address is: 19 (R19)
0x2BC4	0xE030    	LDI        R19, 0
0x2BC6	0xE040    	LDI        R20, 0
; j end address is: 19 (R19)
L_ReadBytesFromEEprom5:
; j start address is: 19 (R19)
0x2BC8	0x1536    	CP         R19, R6
0x2BCA	0x0547    	CPC        R20, R7
0x2BCC	0xF530    	BRSH       L_ReadBytesFromEEprom6
L__ReadBytesFromEEprom786:
;Solar_Loads_Controller_SLCM_V1.c,232 :: 		*(ptr+j)=EEPROM_Read(address+j);
0x2BCE	0x2F03    	MOV        R16, R19
0x2BD0	0x2F14    	MOV        R17, R20
0x2BD2	0x0D04    	ADD        R16, R4
0x2BD4	0x1D15    	ADC        R17, R5
0x2BD6	0x8308    	STD        Y+0, R16
0x2BD8	0x8319    	STD        Y+1, R17
0x2BDA	0x2F03    	MOV        R16, R19
0x2BDC	0x2F14    	MOV        R17, R20
0x2BDE	0x0D02    	ADD        R16, R2
0x2BE0	0x1D13    	ADC        R17, R3
0x2BE2	0x923F    	PUSH       R3
0x2BE4	0x922F    	PUSH       R2
0x2BE6	0x0118    	MOVW       R2, R16
0x2BE8	0x0B20940E  	CALL       _EEPROM_Read+0
0x2BEC	0x902F    	POP        R2
0x2BEE	0x903F    	POP        R3
0x2BF0	0x8118    	LDD        R17, Y+0
0x2BF2	0x8129    	LDD        R18, Y+1
0x2BF4	0x2FE1    	MOV        R30, R17
0x2BF6	0x2FF2    	MOV        R31, R18
